Pulsar,Model,Min freq (MHz),S150 (mJy),S300 (mJy),u_S150 (mJy),u_S300 (mJy)
J1737-3555,SPL,606.0,11.843011338629116,4.983135134049458,6.005691343447162,1.7085219745469105
J1738-2330,HFCO,350.0,11.807630776826077,7.87144122837223,21.65362375160302,9.426648529670508
J1738-2647,SPL,1277.25,270.8730172373512,38.40945209228161,526.5750533462201,51.2892284917713
J1738-2955,SPL,1360.0,30.431016776027647,6.62179200990792,31.597588140230656,4.793184919576123
J1738-3211,SPL,350.0,11.03276818167922,5.998658623817292,3.9782853903214175,1.4435952713228808
J1738-3316,SPL,1275.67,4213.742758604682,269.7491673352973,10929.770238792626,479.7702948735669
J1739-2903,SPL,350.0,43.69216235340616,20.30481401511303,33.501363181526,11.777529490619523
J1739-3159,SPL,1277.7,133.1560271622984,28.68249532873152,228.5305270604184,33.785097123208914
J1740-3015,HFCO,350.0,68.99312215390144,34.55364322955839,10.89689428263122,3.7395603737508383
J1740-3052,SPL,1278.75,1345.1380898387426,134.5343005696353,2173.320899066499,148.94386010099564
J1741-2733,HFCO,350.0,34.699588441494626,18.93091534913424,9.566805864017262,3.2192660960589263
J1741-3927,SPL,350.0,87.77951590816201,37.10609347743552,16.78043763303071,4.807692729093822
J1744-2335,SPL,350.0,240.6896131158019,27.44752848900937,234.59333642490893,16.943889929053363
J1744-3130,SPL,610.0,8.645475718007125,3.883063137771442,4.867251486037934,1.5091167745091365
J1745-3040,BPL,350.0,147.025747637862,87.33800079178691,,
J1746-2849,SPL,1400.0,10.721318722603243,3.809594156474001,16.360041800779314,4.579008977401223
J1746-2850,SPL,1400.0,1.5340378538470585,1.2218612665580724,2.4120738872939484,1.517489172820879
J1748-2021A,SPL,400.0,114.97458218035,19.586013785974696,129.23582518057347,15.06975802677948
J1749-2629,SPL,1342.5,146.31086005407528,27.78913996355503,279.69047228150777,36.73834436444293
J1749-3002,SPL,606.0,101.79737265425646,35.92730448161361,45.91092956236766,11.336487914109874
J1750-2438,SPL,1275.87,2893.6999230698625,202.9475192123335,3714.5924249986433,178.94872982883044
J1750-3157,SPL,606.0,22.994820445973005,9.544900114163903,12.649703568057337,3.599370055630328
J1755-2725,SPL,350.0,23.355550644039003,8.61800223146666,13.976882181755425,3.5413627027361247
